Amazon;Apple;Year
4925.2;52012.98;2024
4885.44;51737.25;2024
4883.76;53943.09;2024
5005;53161.35;2024
4943.68;52446.27;2024
4910.92;52116;2024
4814.88;52231.14;2024
4909.8;51664.53;2024
4950.96;52300.83;2024
4858.28;52155.39;2024
4875.36;51543.33;2024
4972.24;51022.17;2024
4990.16;51058.53;2024
4949.28;51361.53;2024
4848.48;52864.41;2024
4859.12;54240.03;2024
4892.44;54570.3;2024
4899.72;54773.31;2024
4888.24;55136.91;2024
4720.52;54694.53;2024
4678.24;55103.58;2024
4746.28;55664.13;2024
4754.4;55042.98;2024
4787.44;54815.73;2024
4721.92;55039.95;2024
4825.52;55509.6;2024
4884.6;55597.47;2024
4755.52;55864.11;2024
4774.84;56503.44;2024
4736.2;56503.44;2024
4768.68;57015.51;2024
4810.68;56782.2;2024
4459.84;57112.47;2024
4345.6;57079.14;2024
4452;56591.31;2024
4515.28;56036.82;2024
4455.36;56342.85;2024
4417;55600.5;2024
4392.36;56697.36;2024
4368.56;57812.4;2024
4333.84;58018.44;2024
4349.52;58545.66;2024
4298;58645.65;2024
4247.88;58851.69;2024
4288.48;58460.82;2024
4329.36;57760.89;2024
4345.04;56876.13;2024
4304.44;55082.37;2024
4238.36;55367.19;2024
4174.8;56058.03;2024
4066.72;55961.07;2024
4047.96;56139.84;2024
4157.16;55824.72;2024
4198.04;55951.98;2023
4254.32;54630.9;2023
4294.64;54849.06;2023
4293.52;55555.05;2023
4295.48;55973.19;2023
4295.76;58051.77;2023
4307.52;58369.92;2023
4259.36;58239.63;2023
4306.12;58209.33;2023
4313.96;58375.98;2023
4199.16;58700.19;2023
4127.76;58745.64;2023
4167.52;59381.94;2023
4129.44;59063.79;2023
4084.92;59572.83;2023
4127.76;59733.42;2023
4112.64;59687.97;2023
4046.56;58709.28;2023
4112.64;58248.72;2023
4055.52;59012.28;2023
4116.84;58575.96;2023
4090.52;57988.14;2023
4096.96;58321.44;2023
4116.84;57118.53;2023
4136.44;57663.93;2023
4108.72;57273.06;2023
4107.88;57100.35;2023
4029.2;57409.41;2023
4091.64;57224.58;2023
4065.04;57279.12;2023
3999.24;57685.14;2023
4009.6;57482.13;2023
4082.4;57727.56;2023
3992.52;57197.31;2023
4019.68;57203.37;2023
3936.8;56688.27;2023
3978.24;56518.59;2023
3995.88;55721.7;2023
3912.72;55721.7;2023
3880.8;56203.47;2023
3865.96;54927.84;2023
3836;55073.28;2023
3726.52;54752.1;2023
3715.88;53970.36;2023
3576.72;53194.68;2023
3347.96;53470.41;2023
3398.92;52385.67;2023
3599.68;51422.13;2023
3543.68;51279.72;2023
3504.76;50655.54;2023
3595.2;50255.58;2023
3587.64;51522.12;2023
3681.16;52228.11;2023
3711.4;52094.79;2023
3634.12;52058.43;2023
3705.24;52834.11;2023
3691.24;52949.25;2023
3625.44;53343.15;2023
3591.28;53815.83;2023
3582.88;53855.22;2023
3526.88;54415.77;2023
3556;54143.07;2023
3492.16;53718.87;2023
3624.88;53897.64;2023
3559.36;53446.17;2023
3527.44;52670.49;2023
3527.44;52294.77;2023
3527.44;51912.99;2023
3675.56;52322.04;2023
3615.36;51555.45;2023
3621.24;51397.89;2023
3788.12;51322.14;2023
3853.64;51782.7;2023
3919.44;53021.97;2023
3930.92;52634.13;2023
4052.16;52373.55;2023
4055.8;52843.2;2023
3954.44;53921.88;2023
4006.8;53591.61;2023
3870.44;52700.79;2023
3859.8;52918.95;2023
3790.08;52458.39;2023
3843.56;53088.63;2023
3867.36;54009.75;2023
3864.28;53655.24;2023
3781.96;53467.38;2023
3777.48;55079.34;2023
3727.92;57124.59;2023
3731.28;57051.87;2023
3691.52;56573.13;2023
3794.56;56506.47;2023
3759;55442.94;2023
3771.04;54261.24;2023
3730.16;53785.53;2023
3751.44;53112.87;2023
3781.96;54540;2023
3854.76;53367.39;2023
3935.96;52949.25;2023
3875.48;52543.23;2023
3879.68;52394.76;2023
3859.8;53170.44;2023
3918.32;53434.05;2023
3982.16;54040.05;2023
3907.96;54040.05;2023
3609.48;53537.07;2023
3589.88;53518.89;2023
3687.32;53585.55;2023
3743.04;54070.35;2023
3701.88;53782.5;2023
3591;54727.86;2023
3588.2;57488.19;2023
3615.64;57912.39;2023
3606.4;58824.42;2023
3640;59075.91;2023
3638.88;58891.08;2023
3790.08;58106.31;2023
3719.24;58491.12;2023
3739.68;58224.48;2023
3771.04;57963.9;2023
3760.4;57721.5;2023
3662.4;58079.04;2023
3605.84;58669.89;2023
3559.64;58257.81;2023
3633.84;58336.59;2023
3594.08;57345.78;2023
3650.64;57300.33;2023
3646.16;57067.02;2023
3650.08;56557.98;2023
3581.2;56718.57;2023
3613.12;57342.75;2023
3617.04;57682.11;2023
3565.24;57536.67;2023
3621.24;57876.03;2023
3644.2;58330.53;2023
3495.24;57012.48;2023
3521.84;56912.49;2023
3513.72;56551.92;2023
3559.08;55715.64;2023
3539.76;56139.84;2023
3546.48;56233.77;2023
3543.96;55321.74;2023
3456.04;55636.86;2023
3479;55609.59;2023
3394.44;55936.83;2023
3545.08;55318.71;2023
3508.4;55124.79;2023
3479;55270.23;2023
3437.56;54418.8;2023
3376.24;54300.63;2023
3406.48;53473.44;2023
3363.08;53891.58;2023
3220;54003.69;2023
3269;54415.77;2023
3219.72;54155.19;2023
3220.28;53303.76;2023
3255;53318.91;2023
3308.2;52755.33;2023
3234;52022.07;2023
3175.2;51676.65;2023
3113.6;51591.81;2023
3087.28;52385.67;2023
3141.04;52673.52;2023
3085.32;52640.19;2023
2985.36;51931.17;2023
2963.24;51746.34;2023
2958.48;51746.34;2023
2912;51746.34;2023
2902.2;51894.81;2023
2901.64;52176.6;2023
2857.4;52122.06;2023
2952.6;51582.72;2023
3074.96;52103.88;2023
2939.44;52125.09;2023
2871.96;49788.96;2023
2973.88;50285.88;2023
2994.88;50613.12;2023
2906.68;50928.24;2023
2920.4;50955.51;2023
2864.4;50573.73;2023
2876.72;49176.9;2023
2870.28;49179.93;2023
2867.2;49649.58;2023
2739.24;49555.65;2023
2797.76;50046.51;2023
2860.76;50340.42;2023
2857.68;49991.97;2023
2830.8;49619.28;2023
2910.6;49613.22;2023
2867.48;49719.27;2023
2892.12;48080.04;2023
2856;48289.11;2023
2807;48658.77;2023
2722.72;49449.6;2023
2745.12;49176.9;2023
2747.64;49740.48;2023
2763.88;49901.07;2023
2763.6;49519.29;2023
2817.08;48758.76;2023
2735.88;48280.02;2023
2770.6;47343.75;2023
2801.12;47531.61;2023
2693.6;48122.46;2023
2656.64;47728.56;2023
2588.04;47398.29;2023
2540.44;47831.58;2023
2583;47268;2023
2629.76;46546.86;2023
2619.4;46801.38;2023
2625;45943.89;2023
2657.2;45822.69;2023
2579.64;45186.39;2023
2580.76;44595.54;2023
2638.44;45222.75;2023
2625.28;45907.53;2023
2618;45525.75;2023
2682.96;46195.38;2023
2682.12;45356.07;2023
2648.24;43816.83;2023
2721.6;43638.06;2023
2748.2;44268.3;2023
2832.48;44419.8;2023
2791.6;44056.2;2023
2787.12;44865.21;2023
2733.08;44719.77;2023
2750.72;44589.48;2023
2801.4;45810.57;2023
2859.08;46159.02;2023
2861.04;46646.85;2023
2894.92;46007.52;2023
3161.48;46201.44;2023
2944.2;46201.44;2023
2887.64;45350.01;2023
2815.4;45237.9;2023
2862.72;45553.02;2023
2778.16;46371.12;2023
2721.04;45495.45;2023
2696.96;46325.67;2023
2730.56;45222.75;2023
2723;43607.76;2023
2623.04;43265.37;2023
2672.88;42877.53;2023
2689.4;43756.23;2023
2747.36;43165.38;2023
2667.56;42535.14;2023
2662.52;42738.15;2023
2516.36;42310.92;2023
2446.08;41341.32;2023
2410.24;40559.58;2023
2327.36;40541.4;2023
2383.92;40762.59;2023
2402.96;40408.08;2022
2352;40002.06;2022
2357.04;40026.3;2022
2290.96;39199.11;2022
2325.12;39026.4;2022
2387;38865.81;2022
2346.12;37487.16;2022
2429.56;37890.15;2022
2385.32;37502.31;2022
2377.76;38959.74;2022
2460.08;38862.78;2022
2476.6;37793.19;2022
2564.24;38990.04;2022
2589.72;39538.47;2022
2535.4;39647.55;2022
2494.52;40614.12;2022
2529.8;39668.76;2022
2476.88;39689.97;2022
2471;40332.33;2022
2548.28;40929.24;2022
2635.64;42941.16;2022
2674;43619.88;2022
2703.12;43325.97;2022
2587.76;42626.04;2022
2630.6;42774.51;2022
2615.48;42259.41;2022
2635.64;42850.26;2022
2609.6;43965.3;2022
2588.88;44319.81;2022
2635.92;44471.31;2022
2655.8;44386.47;2022
2719.36;42329.1;2022
2770.32;43244.16;2022
2757.72;44410.71;2022
2822.12;45298.5;2022
2705.64;45031.86;2022
2411.92;44380.41;2022
2519.44;45365.16;2022
2534.84;45192.45;2022
2547.44;44613.72;2022
2500.4;44989.44;2022
2579.36;44462.22;2022
2710.12;44886.42;2022
2868.32;44038.02;2022
2895.48;40441.41;2022
3106.88;41829.15;2022
3238.48;41653.41;2022
3376.8;41653.41;2022
3354.96;41492.82;2022
3340.96;41574.63;2022
3227;43413.84;2022
3221.96;45098.52;2022
3258.08;45901.47;2022
3186.12;46619.58;2022
2993.2;43347.18;2022
3150.84;44707.65;2022
3161.2;45604.53;2022
3141.88;44737.95;2022
3182.76;44086.5;2022
3207.68;42922.98;2022
3368.4;43065.39;2022
3386.6;43032.06;2022
3390.52;42629.07;2022
3244.64;41423.13;2022
3164;42804.81;2022
3214.4;41411.01;2022
3304.28;41604.93;2022
3203.48;42035.19;2022
3224.2;41935.2;2022
3185.84;43535.04;2022
3284.68;43825.92;2022
3319.12;43735.02;2022
3421.32;42641.19;2022
3490.48;41371.62;2022
3458.84;42650.28;2022
3535.84;44856.12;2022
3599.4;45428.79;2022
3550.96;45131.85;2022
3820.6;45031.86;2022
3731.56;45722.7;2022
3634.96;46016.61;2022
3625.44;46968.03;2022
3531.08;46243.86;2022
3570.28;45110.64;2022
3578.96;45610.59;2022
3549.56;46492.32;2022
3604.44;46052.97;2022
3634.12;48922.38;2022
3661;47107.41;2022
3843.84;46237.8;2022
3746.4;46686.24;2022
3741.36;46259.01;2022
3730.16;46640.79;2022
3870.44;47286.18;2022
3984.4;47064.99;2022
3978.8;47571;2022
4053.84;48310.32;2022
4009.04;48979.95;2022
4019.4;50897.94;2022
3937.92;50149.53;2022
3995.32;50061.66;2022
3859.24;50161.65;2022
3903.48;51343.35;2022
3942.4;52131.15;2022
3991.96;52252.35;2022
3906.56;51797.85;2022
3756.48;51843.3;2022
